Extracurricular_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Study_Hours_Per_Day,GPA,Stress_Level_Ordinal
1.5662459224497125,-1.0058956185603694,0.8207337705286728,0.05654312980212756,-0.4044867675763731,2.99,1
1.3066328075069458,-0.5284701776425816,0.3414731745995211,0.8858818592204507,-1.5284513874481986,2.75,0
1.652783627430635,0.1080970769144684,1.1630627676209244,-0.8912725609616701,-1.6689469649321769,2.67,0
0.0951049377740337,0.8640206917009656,-0.20625322074808128,-0.5950801575979833,-0.6854779225443296,2.88,1
-1.2029606369398007,0.9038061451107812,-0.6855138166772335,-0.29888775423429637,0.4384866973274952,3.51,2
0.0951049377740337,1.3016606792089376,0.3414731745995211,-1.4244188870163064,-1.036716866254275,2.85,1
-1.1164229319588785,-0.011259283314978441,-1.5071034096986373,1.774459069311511,0.3682389085855064,3.08,2
-0.16450817716873323,0.3468097973733624,-1.3017060114432866,0.1750200911476024,0.6492300635534629,3.2,2
1.3931705124878682,0.2274534371439156,-0.8224454155141343,0.7674048978749759,-1.5986991761901874,2.82,0
-1.1164229319588785,-1.2048228856094476,1.5738575641316273,1.0635973012386628,0.1574955423595393,2.76,1
1.3931705124878682,-1.6424628731174193,0.3414731745995211,-0.1211723122160844,1.56245131719932,3.43,2
-0.7702721120351893,0.18766798373409974,1.0945969682024743,-0.35812623490703377,-0.4044867675763731,2.97,1
0.18164264275495606,0.2274534371439156,-1.233240212024836,1.2413127432568747,-0.7557257112863185,2.82,2
1.133557397545101,-0.608041084462213,0.6838021716917726,1.0043588205659255,-1.7391947536741656,2.87,0
-1.4625737518825677,1.1823043189794906,-0.48011641842188274,-1.1874649643253568,1.0004690072634081,3.4,2
-1.4625737518825677,1.619944306487463,-0.6170480172587836,-0.4173647155797712,-0.5449823450603514,3.2,1
0.5277934626786452,-1.0058956185603694,1.2999943664578257,-0.6543186382707206,0.7897256410374406,3.36,2
0.18164264275495606,-0.8865392583309224,0.9576653693655741,-0.4173647155797712,0.9302212185214194,3.19,2
-0.2510458821496556,1.8586570269463567,-1.6440350085355382,-1.246703444998094,0.08724775361754986,3.16,2
0.008567232793111324,0.02852617009483741,1.3684601658762758,-0.713557118943458,-0.6152301338023408,2.93,1
0.8739442826023343,1.1823043189794906,-0.9593770143510351,-1.3059419256708316,-0.26399119009239547,2.9,1
1.047019692564179,-1.5628919662977883,0.47840477343642124,-0.06193383154334699,1.4922035284573312,3.34,2
-1.1164229319588785,-0.8467538049211067,1.3684601658762758,-0.06193383154334699,1.0707167960053972,3.21,2
-0.2510458821496556,-0.9661101651505537,1.0945969682024743,1.4782666659478243,-0.9664690775122862,2.85,1
0.008567232793111324,1.6995152133070939,-0.27471902016653194,-0.8320340802889327,-1.7391947536741656,2.68,0
-0.5971967020733447,-1.0854665253800007,0.06760997692571961,0.6489279365295011,1.56245131719932,3.29,2
1.652783627430635,-0.6876119912818441,1.5738575641316273,-1.0689880029798822,-0.47473455631836253,2.64,1
-1.6356491618444122,0.8640206917009656,0.3414731745995211,0.1750200911476024,-0.7557257112863185,2.95,1
-0.7702721120351893,0.943591598520597,1.3684601658762758,-0.7727955996161954,-1.5284513874481986,2.79,0
-0.8568098170161117,-1.2843937924290787,0.6153363722733226,0.5304509751840266,1.7029468946832989,3.25,2
0.787406577621412,-0.011259283314978441,-0.48011641842188274,0.6489279365295011,-0.8962212887702967,3.05,1
1.133557397545101,1.261875225799122,-0.6170480172587836,-0.9505110416344074,-1.3879558099642204,3.26,0
0.35471805271680046,1.4210170394383848,0.6153363722733226,-1.542895848361781,-1.5986991761901874,2.47,0
-1.1164229319588785,-0.011259283314978441,0.6838021716917726,-0.2396492735615592,0.508734486069484,3.24,2
-1.2029606369398007,0.7844497848813343,-0.5485822178403328,-1.1874649643253568,1.56245131719932,3.62,2
0.18164264275495606,-0.17040109695424097,0.06760997692571961,-0.8912725609616701,1.140964584747386,3.12,2
1.3931705124878682,-0.926324711740738,1.3684601658762758,0.41197401383855176,-1.3879558099642204,2.58,0
1.3931705124878682,-1.5231065128879726,1.2999943664578257,-0.4766031962525086,0.7897256410374406,3.03,2
-1.4625737518825677,-0.011259283314978441,-1.164774412606386,1.596743627293299,0.508734486069484,3.29,2
-1.2029606369398007,0.8640206917009656,0.13607577634417029,0.8858818592204507,-1.7391947536741656,2.61,0
-0.9433475219970341,0.18766798373409974,0.7522679711102227,-0.7727955996161954,0.5789822748114741,3.48,2
1.2200951025260234,-1.0058956185603694,0.5468705728548725,-0.2396492735615592,0.508734486069484,3.07,2
-0.4241212921115002,1.9382279337659876,-0.8224454155141343,-0.713557118943458,-1.3879558099642204,2.81,0
0.4412557576977228,-1.1252519787898163,1.0261311687840242,-0.713557118943458,1.4219557397153424,3.49,2
0.008567232793111324,-0.21018655036405662,-1.027842813769485,0.9451203398931879,0.29799111984351756,2.97,1
1.5662459224497125,-1.483321059478157,1.436925965294726,-1.4244188870163064,1.56245131719932,3.55,2
1.4797082174687906,-0.8069683515112912,-0.27471902016653194,1.8336975499842483,-1.6689469649321769,2.6,0
-0.5971967020733447,-0.011259283314978441,-1.164774412606386,0.35273553316581435,1.2814601622313648,3.09,2
0.7008688726404896,-0.4091138174131348,0.27300737518107104,-1.4244188870163064,1.56245131719932,3.47,2
0.8739442826023343,-1.36396469924871,0.6838021716917726,-0.29888775423429637,1.3517079509733536,3.18,2
-0.6837344070542671,-0.8865392583309224,1.0261311687840242,1.3005512239296124,-0.47473455631836253,3.12,1
0.5277934626786452,-1.4037501526585257,0.6838021716917726,0.2342585718203398,1.0707167960053972,4.0,2
-0.5106589970924226,0.5059516110126248,-0.4116506190034321,-1.246703444998094,1.4219557397153424,3.33,2
0.18164264275495606,0.1080970769144684,-0.7539796160956836,0.47121249451128916,-0.12349561260841722,3.11,1
-1.6356491618444122,1.2220897723893065,1.0945969682024743,-0.29888775423429637,-1.5986991761901874,2.79,0
-0.9433475219970341,0.5457370644224406,0.4099389740179712,-1.3059419256708316,0.9302212185214194,3.1,2
0.0951049377740337,0.3070243439635466,0.13607577634417029,0.6489279365295011,-1.5284513874481986,2.39,0
-0.7702721120351893,0.7446643314715188,-0.20625322074808128,-1.3059419256708316,1.0707167960053972,3.39,2
1.652783627430635,-1.0058956185603694,1.1630627676209244,0.7674048978749759,-1.6689469649321769,2.52,0
-0.8568098170161117,0.3468097973733624,0.13607577634417029,0.9451203398931879,-1.1772124437382532,2.8,0
-0.7702721120351893,-1.2048228856094476,1.5738575641316273,0.47121249451128916,0.5789822748114741,3.67,2
-0.8568098170161117,0.1080970769144684,-0.48011641842188274,1.0635973012386628,-0.26399119009239547,3.27,1
-1.289498341920723,3.450075163338982,-1.5755692091170874,-1.4836573676890434,-1.6689469649321769,2.85,2
-1.3760360469016455,0.6253079712420719,-0.0008558224927304587,0.05654312980212756,-0.053247823866427776,3.26,1
