anio,unidad,ingresos_totales,gastos_personal,liquidez,dias_efectivo,cfo,participacion_ley30,participacion_regalias,participacion_servicios,participacion_matriculas,hhi_fuentes,endeudamiento,tendencia_ingresos,gp_ratio,label,ratio_gastos_personal_ingresos,ratio_cfo_ingresos,ratio_liquidez_endeudamiento,diversificacion_fuentes,anios_cobertura_efectivo,delta_gp_ratio_anual,delta_liquidez_anual
2016,Ciencias Económicas,112796893471.00256,57697505446.5357,1.7686718409687652,102.05680225320756,6299227711.793105,0.3565107477078985,0.085345972901087,0.2366382488627058,0.2022619481964017,0.2455103175187036,0.4165016716161784,0.0178917572906259,0.511516795108975,0,0.511516795108975,0.055845755303646626,4.246493877541319,0.7544896824812963,0.27960767740604814,,
2016,Derecho,67566651177.97894,32202890885.50818,1.260682833461194,90.11801152544416,6414645943.038824,0.2278462107060342,0.032392973526914,0.3049029496123625,0.1524580587014578,0.2489221200619721,0.3434859235085126,0.0216659073405547,0.4766092491498767,0,0.47660924914987673,0.09493804756050216,3.670260440024542,0.7510778799380279,0.24689866171354563,,
2016,Educación,92560911717.48232,42678068075.53863,1.8699041909327616,113.50005159538584,7471860875.417036,0.403408019366454,0.0668651596195513,0.2146662754720879,0.1890504658827481,0.2649092083113633,0.3804823461736828,0.0601253762588597,0.461080895635537,0,0.4610808956355371,0.08072371735298928,4.914562161928966,0.7350907916886367,0.3109590454668105,,
2016,Facultad de Ingeniería,184908925565.2797,78204055230.45029,1.8052943056192088,93.5744253904058,4134823981.829304,0.3641489249025996,0.0298741057216381,0.1910699874015732,0.246057461483886,0.2590590767077234,0.3456869896915058,0.0321727706847118,0.4229328302642771,0,0.4229328302642771,0.02236140829432032,5.222337858323483,0.7409409232922766,0.25636828874083784,,
2016,Institutos,81972253788.63937,42702207316.315575,1.1652065526174884,88.98636462303102,6335817431.093542,0.4224288292662225,0.0778440017027567,0.2085286685528102,0.162013295933481,0.2709271351372312,0.3952168014287351,0.0294759955706287,0.5209348937314899,1,0.5209348937314899,0.07729221947989955,2.948271730661429,0.7290728648627688,0.24379825924118087,,
2016,Medicina,186799338671.8841,94483786707.06538,1.0192341490419046,109.9833174072631,13319246561.90809,0.2874405063263402,0.0363134532297667,0.144094601236817,0.1615525034745311,0.2681467482131939,0.3253969476637355,-0.0382378539063545,0.5058036467303966,0,0.5058036467303967,0.07130242888762872,3.1322792823870804,0.7318532517868062,0.30132415728017287,,
2016,Nivel Central,240684855900.87064,132097374182.3852,1.3878873581508095,93.61135316019336,23525970567.23397,0.3711459639807974,0.0616298179740682,0.2175494150602769,0.239321566990612,0.2583279581570644,0.3581876430769773,-0.06663316454045,0.5488395756681563,0,0.5488395756681563,0.09774595281110443,3.874749300341019,0.7416720418429357,0.25646946071285853,,
2016,Sedes y Seccionales,65795504339.40553,31717384437.46397,1.4550470530708262,132.25313080596712,4519136789.225881,0.3088357417692754,0.076119642232443,0.2676415430905828,0.1815378830659077,0.2332729751049865,0.5090705228208819,,0.4820600549522369,0,0.48206005495223686,0.06868458315805215,2.8582425405926783,0.7667270248950135,0.3623373446738825,,
2017,Ciencias Económicas,100420775869.84166,58253117931.75008,1.3547337990799495,116.2372382246916,-16629382569.323437,0.294017246453908,0.0633588459080333,0.2476928083001605,0.158773017609055,0.2327917225372883,0.372545922053905,-0.0473093545004245,0.5800902993146922,0,0.5800902993146922,-0.16559703333578374,3.6364208612105533,0.7672082774627117,0.31845818691696326,0.06857350420571728,-0.41393804188881567
2017,Derecho,73914828634.95139,39282645810.6814,1.8947014784517051,98.95850868404072,18654257386.51001,0.3544521721207054,0.0383636175341876,0.2652153110067321,0.2279995059433045,0.2624200680050245,0.2528482425967379,,0.5314582545363055,0,0.5314582545363055,0.2523750339548126,7.493433152071344,0.7375799319949755,0.27111920187408417,0.054849005386428784,0.6340186449905112
